Surface Type,Location,Climate Zones,Ground Adjacent,Construction Type,Occupancy Types,Heated,U/F/C,R-Cavity,R-Continuous,Notes
Roof,Exterior,"7,8",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.028,0,35,
Roof,Semi-exterior,"7,8",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.039,0,25,
Roof,Exterior,7,FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.029,30,11,
Roof,Semi-exterior,"7,8",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.037,19,11,
Roof,Exterior,"7,8",FALSE,"ATTIC,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.017,60,0,
Roof,Semi-exterior,"7,8",FALSE,"ATTIC,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.027,38,0,
Roof,Exterior,8,FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.026,36,11,
Wall,Exterior,"0A,0B,1A,1B",FALSE,MASS,NONRESIDENTIAL,FALSE,0.58,0,0,
Wall,Exterior,"0A,0B,1A,1B",FALSE,MASS,RESIDENTIAL,FALSE,0.151,0,5.7,
Wall,Semi-exterior,"0A,0B,1A,1B,2A,2B,3A,3B,3C,4A,4B,4C",FALSE,MASS,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.58,0,0,
Wall,Exterior,"0A,0B,1A,1B,2A,2B",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.094,0,9.8,
Wall,Semi-exterior,"0A,0B,1A,1B",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.58,0,0,
Wall,Exterior,"0A,0B,1A,1B",FALSE,STEEL_FRAMED,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.124,13,0,
Wall,Semi-exterior,"0A,0B,1A,1B",FALSE,STEEL_FRAMED,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.352,0,0,
Wall,Exterior,"0A,0B,1A,1B,2A,2B",FALSE,"WOOD_FRAMED,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.089,13,0,
Wall,Semi-exterior,"0A,0B,1A,1B",FALSE,"WOOD_FRAMED,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.292,0,0,
Wall,Exterior,"2A,2B",FALSE,MASS,NONRESIDENTIAL,FALSE,0.151,0,5.7,
Wall,Exterior,"2A,2B",FALSE,MASS,RESIDENTIAL,FALSE,0.123,0,7.6,
